1/36. Count of epochs: 10; batch size: 50; learning rate: 0.02000...
Training loss: 1.50437; testing loss: 1.53443;
-------------------------------------------------------------------------------------------
Epoch 762/1000... Training accuracy.: 0.95738; testing accuracy.: 0.95500
Training loss: 1.50437; testing loss: 1.50801;
-------------------------------------------------------------------------------------------
Epoch 763/1000... Training accuracy.: 0.95738; testing accuracy.: 0.92500
Training loss: 1.50437; testing loss: 1.53920;
-------------------------------------------------------------------------------------------
Epoch 764/1000... Training accuracy.: 0.95738; testing accuracy.: 0.92000
Training loss: 1.50437; testing loss: 1.54172;
-------------------------------------------------------------------------------------------
Epoch 765/1000... Training accuracy.: 0.95738; testing accuracy.: 0.95000
Training loss: 1.50436; testing loss: 1.51199;
-------------------------------------------------------------------------------------------
Epoch 766/1000... Training accuracy.: 0.95738; testing accuracy.: 0.92000
Training loss: 1.50436; testing loss: 1.53624;
-------------------------------------------------------------------------------------------
Epoch 767/1000... Training accuracy.: 0.95738; testing accuracy.: 0.92000
Training loss: 1.50435; testing loss: 1.54011;
-------------------------------------------------------------------------------------------
Epoch 768/1000... Training accuracy.: 0.95738; testing accuracy.: 0.95500
Training loss: 1.50436; testing loss: 1.50824;
-------------------------------------------------------------------------------------------
Epoch 769/1000... Training accuracy.: 0.95738; testing accuracy.: 0.94000
Training loss: 1.50436; testing loss: 1.52409;
-------------------------------------------------------------------------------------------
Epoch 770/1000... Training accuracy.: 0.95738; testing accuracy.: 0.92500
Training loss: 1.50436; testing loss: 1.53733;
-------------------------------------------------------------------------------------------
Epoch 771/1000... Training accuracy.: 0.95738; testing accuracy.: 0.94500
Training loss: 1.50436; testing loss: 1.51605;
-------------------------------------------------------------------------------------------
Epoch 772/1000... Training accuracy.: 0.95738; testing accuracy.: 0.93000
Training loss: 1.50435; testing loss: 1.53179;
-------------------------------------------------------------------------------------------
Epoch 773/1000... Training accuracy.: 0.95738; testing accuracy.: 0.95000
Training loss: 1.50436; testing loss: 1.50782;
-------------------------------------------------------------------------------------------
Epoch 774/1000... Training accuracy.: 0.95738; testing accuracy.: 0.95500
Training loss: 1.50435; testing loss: 1.50707;
-------------------------------------------------------------------------------------------
Epoch 775/1000... Training accuracy.: 0.95738; testing accuracy.: 0.89500
Training loss: 1.50435; testing loss: 1.56392;
-------------------------------------------------------------------------------------------
Epoch 776/1000... Training accuracy.: 0.95738; testing accuracy.: 0.91500
Training loss: 1.50434; testing loss: 1.53874;
-------------------------------------------------------------------------------------------
Epoch 777/1000... Training accuracy.: 0.95738; testing accuracy.: 0.96000
Training loss: 1.50435; testing loss: 1.50116;
-------------------------------------------------------------------------------------------
Epoch 778/1000... Training accuracy.: 0.95738; testing accuracy.: 0.94000
Training loss: 1.50435; testing loss: 1.52054;
-------------------------------------------------------------------------------------------
Epoch 779/1000... Training accuracy.: 0.95738; testing accuracy.: 0.95000
Training loss: 1.50434; testing loss: 1.51209;
-------------------------------------------------------------------------------------------
Epoch 780/1000... Training accuracy.: 0.95738; testing accuracy.: 0.93000
Training loss: 1.50435; testing loss: 1.53282;
-------------------------------------------------------------------------------------------
Epoch 781/1000... Training accuracy.: 0.95738; testing accuracy.: 0.94500
Training loss: 1.50434; testing loss: 1.51473;
-------------------------------------------------------------------------------------------
Epoch 782/1000... Training accuracy.: 0.95738; testing accuracy.: 0.92000
Training loss: 1.50433; testing loss: 1.54400;
-------------------------------------------------------------------------------------------
Epoch 783/1000... Training accuracy.: 0.95738; testing accuracy.: 0.94000
Training loss: 1.50434; testing loss: 1.52245;
-------------------------------------------------------------------------------------------
Epoch 784/1000... Training accuracy.: 0.95738; testing accuracy.: 0.90000
Training loss: 1.50434; testing loss: 1.56001;
-------------------------------------------------------------------------------------------
Epoch 785/1000... Training accuracy.: 0.95738; testing accuracy.: 0.95000
Training loss: 1.50434; testing loss: 1.51373;
-------------------------------------------------------------------------------------------
Epoch 786/1000... Training accuracy.: 0.95738; testing accuracy.: 0.94500
Training loss: 1.50433; testing loss: 1.51437;
-------------------------------------------------------------------------------------------
Epoch 787/1000... Training accuracy.: 0.95738; testing accuracy.: 0.90500
Training loss: 1.50433; testing loss: 1.55498;
-------------------------------------------------------------------------------------------
Epoch 788/1000... Training accuracy.: 0.95740; testing accuracy.: 0.89000
Training loss: 1.50431; testing loss: 1.57280;
-------------------------------------------------------------------------------------------
Epoch 789/1000... Training accuracy.: 0.95740; testing accuracy.: 0.94000
Training loss: 1.50431; testing loss: 1.52350;
-------------------------------------------------------------------------------------------
Epoch 790/1000... Training accuracy.: 0.95740; testing accuracy.: 0.95000
Training loss: 1.50432; testing loss: 1.51061;
-------------------------------------------------------------------------------------------
Epoch 791/1000... Training accuracy.: 0.95740; testing accuracy.: 0.93000
Training loss: 1.50431; testing loss: 1.53222;
-------------------------------------------------------------------------------------------
Epoch 792/1000... Training accuracy.: 0.95740; testing accuracy.: 0.92500
Training loss: 1.50431; testing loss: 1.53495;
-------------------------------------------------------------------------------------------
Epoch 793/1000... Training accuracy.: 0.95740; testing accuracy.: 0.93500
Training loss: 1.50431; testing loss: 1.52753;
-------------------------------------------------------------------------------------------
Epoch 794/1000... Training accuracy.: 0.95738; testing accuracy.: 0.91500
Training loss: 1.50431; testing loss: 1.54357;
-------------------------------------------------------------------------------------------
Epoch 795/1000... Training accuracy.: 0.95740; testing accuracy.: 0.93000
Training loss: 1.50430; testing loss: 1.53354;
-------------------------------------------------------------------------------------------
Epoch 796/1000... Training accuracy.: 0.95740; testing accuracy.: 0.94000
Training loss: 1.50431; testing loss: 1.52278;
-------------------------------------------------------------------------------------------
Epoch 797/1000... Training accuracy.: 0.95740; testing accuracy.: 0.91000
Training loss: 1.50431; testing loss: 1.55086;
-------------------------------------------------------------------------------------------
Epoch 798/1000... Training accuracy.: 0.95740; testing accuracy.: 0.93500
Training loss: 1.50430; testing loss: 1.52526;
-------------------------------------------------------------------------------------------
Epoch 799/1000... Training accuracy.: 0.95740; testing accuracy.: 0.94500
Training loss: 1.50430; testing loss: 1.51804;
-------------------------------------------------------------------------------------------
Epoch 800/1000... Training accuracy.: 0.95740; testing accuracy.: 0.90500
Training loss: 1.50431; testing loss: 1.55749;
-------------------------------------------------------------------------------------------
Epoch 801/1000... Training accuracy.: 0.95740; testing accuracy.: 0.94500
Training loss: 1.50430; testing loss: 1.51470;
-------------------------------------------------------------------------------------------
Epoch 802/1000... Training accuracy.: 0.95740; testing accuracy.: 0.91000
Training loss: 1.50430; testing loss: 1.54983;
-------------------------------------------------------------------------------------------
Epoch 803/1000... Training accuracy.: 0.95740; testing accuracy.: 0.95500
Training loss: 1.50430; testing loss: 1.50966;
-------------------------------------------------------------------------------------------
Epoch 804/1000... Training accuracy.: 0.95740; testing accuracy.: 0.93500
Training loss: 1.50429; testing loss: 1.52345;
-------------------------------------------------------------------------------------------
Epoch 805/1000... Training accuracy.: 0.95740; testing accuracy.: 0.91000
Training loss: 1.50430; testing loss: 1.54773;
-------------------------------------------------------------------------------------------
Epoch 806/1000... Training accuracy.: 0.95740; testing accuracy.: 0.93500
Training loss: 1.50429; testing loss: 1.52579;
-------------------------------------------------------------------------------------------
Epoch 807/1000... Training accuracy.: 0.95740; testing accuracy.: 0.92000
Training loss: 1.50429; testing loss: 1.53607;
-------------------------------------------------------------------------------------------
Epoch 808/1000... Training accuracy.: 0.95740; testing accuracy.: 0.89500
Training loss: 1.50429; testing loss: 1.56387;
-------------------------------------------------------------------------------------------
Epoch 809/1000... Training accuracy.: 0.95740; testing accuracy.: 0.93000
Training loss: 1.50429; testing loss: 1.53211;
-------------------------------------------------------------------------------------------
Epoch 810/1000... Training accuracy.: 0.95740; testing accuracy.: 0.92000
Training loss: 1.50429; testing loss: 1.54090;
-------------------------------------------------------------------------------------------
Epoch 811/1000... Training accuracy.: 0.95740; testing accuracy.: 0.93000
Training loss: 1.50429; testing loss: 1.53272;
-------------------------------------------------------------------------------------------
Epoch 812/1000... Training accuracy.: 0.95740; testing accuracy.: 0.91000
Training loss: 1.50428; testing loss: 1.54927;
-------------------------------------------------------------------------------------------
Epoch 813/1000... Training accuracy.: 0.95740; testing accuracy.: 0.91500
Training loss: 1.50428; testing loss: 1.54773;
-------------------------------------------------------------------------------------------
Epoch 814/1000... Training accuracy.: 0.95740; testing accuracy.: 0.96500
Training loss: 1.50428; testing loss: 1.49813;
-------------------------------------------------------------------------------------------
Epoch 815/1000... Training accuracy.: 0.95740; testing accuracy.: 0.92000
Training loss: 1.50428; testing loss: 1.53880;
-------------------------------------------------------------------------------------------
Epoch 816/1000... Training accuracy.: 0.95740; testing accuracy.: 0.94000
Training loss: 1.50428; testing loss: 1.52084;
-------------------------------------------------------------------------------------------
Epoch 817/1000... Training accuracy.: 0.95740; testing accuracy.: 0.92000
Training loss: 1.50428; testing loss: 1.54327;
-------------------------------------------------------------------------------------------
Epoch 818/1000... Training accuracy.: 0.95740; testing accuracy.: 0.91500
Training loss: 1.50428; testing loss: 1.54801;
-------------------------------------------------------------------------------------------
Epoch 819/1000... Training accuracy.: 0.95740; testing accuracy.: 0.90500
Training loss: 1.50428; testing loss: 1.55636;
-------------------------------------------------------------------------------------------
Epoch 820/1000... Training accuracy.: 0.95740; testing accuracy.: 0.86000
Training loss: 1.50428; testing loss: 1.59922;
-------------------------------------------------------------------------------------------
Epoch 821/1000... Training accuracy.: 0.95740; testing accuracy.: 0.93500
Training loss: 1.50428; testing loss: 1.52491;
-------------------------------------------------------------------------------------------
Epoch 822/1000... Training accuracy.: 0.95742; testing accuracy.: 0.91000
Training loss: 1.50426; testing loss: 1.55242;
-------------------------------------------------------------------------------------------
Epoch 823/1000... Training accuracy.: 0.95742; testing accuracy.: 0.89500
Training loss: 1.50426; testing loss: 1.56422;
-------------------------------------------------------------------------------------------
Epoch 824/1000... Training accuracy.: 0.95742; testing accuracy.: 0.93000
Training loss: 1.50426; testing loss: 1.53177;
-------------------------------------------------------------------------------------------
Epoch 825/1000... Training accuracy.: 0.95742; testing accuracy.: 0.91000
Training loss: 1.50426; testing loss: 1.55171;
-------------------------------------------------------------------------------------------
Epoch 826/1000... Training accuracy.: 0.95742; testing accuracy.: 0.91500
Training loss: 1.50425; testing loss: 1.54571;
-------------------------------------------------------------------------------------------
Epoch 827/1000... Training accuracy.: 0.95742; testing accuracy.: 0.92500
Training loss: 1.50425; testing loss: 1.53736;
-------------------------------------------------------------------------------------------
Epoch 828/1000... Training accuracy.: 0.95742; testing accuracy.: 0.93500
Training loss: 1.50425; testing loss: 1.52578;
-------------------------------------------------------------------------------------------
Epoch 829/1000... Training accuracy.: 0.95742; testing accuracy.: 0.94500
Training loss: 1.50426; testing loss: 1.52008;
-------------------------------------------------------------------------------------------
Epoch 830/1000... Training accuracy.: 0.95742; testing accuracy.: 0.92500
Training loss: 1.50425; testing loss: 1.53441;
-------------------------------------------------------------------------------------------
Epoch 831/1000... Training accuracy.: 0.95742; testing accuracy.: 0.90000
Training loss: 1.50425; testing loss: 1.55657;
-------------------------------------------------------------------------------------------
Epoch 832/1000... Training accuracy.: 0.95742; testing accuracy.: 0.92500
Training loss: 1.50425; testing loss: 1.53805;
-------------------------------------------------------------------------------------------
Epoch 833/1000... Training accuracy.: 0.95742; testing accuracy.: 0.90000
Training loss: 1.50425; testing loss: 1.55526;
-------------------------------------------------------------------------------------------
Epoch 834/1000... Training accuracy.: 0.95742; testing accuracy.: 0.90500
Training loss: 1.50424; testing loss: 1.55154;
-------------------------------------------------------------------------------------------
Epoch 835/1000... Training accuracy.: 0.95742; testing accuracy.: 0.93500
Training loss: 1.50424; testing loss: 1.52564;
-------------------------------------------------------------------------------------------
Epoch 836/1000... Training accuracy.: 0.95742; testing accuracy.: 0.95500
Training loss: 1.50424; testing loss: 1.50665;
-------------------------------------------------------------------------------------------
Epoch 837/1000... Training accuracy.: 0.95742; testing accuracy.: 0.90000
Training loss: 1.50424; testing loss: 1.56274;
-------------------------------------------------------------------------------------------
Epoch 838/1000... Training accuracy.: 0.95742; testing accuracy.: 0.94000
Training loss: 1.50425; testing loss: 1.52119;
-------------------------------------------------------------------------------------------
Epoch 839/1000... Training accuracy.: 0.95742; testing accuracy.: 0.93000
Training loss: 1.50424; testing loss: 1.52813;
-------------------------------------------------------------------------------------------
Epoch 840/1000... Training accuracy.: 0.95742; testing accuracy.: 0.90000
Training loss: 1.50424; testing loss: 1.55885;
-------------------------------------------------------------------------------------------
Epoch 841/1000... Training accuracy.: 0.95742; testing accuracy.: 0.92000
Training loss: 1.50424; testing loss: 1.53969;
-------------------------------------------------------------------------------------------
Epoch 842/1000... Training accuracy.: 0.95742; testing accuracy.: 0.90500
Training loss: 1.50423; testing loss: 1.55732;
-------------------------------------------------------------------------------------------
Epoch 843/1000... Training accuracy.: 0.95742; testing accuracy.: 0.93500
Training loss: 1.50424; testing loss: 1.52333;
-------------------------------------------------------------------------------------------
Epoch 844/1000... Training accuracy.: 0.95742; testing accuracy.: 0.94500
Training loss: 1.50423; testing loss: 1.51766;
-------------------------------------------------------------------------------------------
Epoch 845/1000... Training accuracy.: 0.95742; testing accuracy.: 0.94500
Training loss: 1.50423; testing loss: 1.51537;
-------------------------------------------------------------------------------------------
Epoch 846/1000... Training accuracy.: 0.95742; testing accuracy.: 0.93500
Training loss: 1.50423; testing loss: 1.52524;
-------------------------------------------------------------------------------------------
Epoch 847/1000... Training accuracy.: 0.95742; testing accuracy.: 0.92500
Training loss: 1.50423; testing loss: 1.53309;
-------------------------------------------------------------------------------------------
Epoch 848/1000... Training accuracy.: 0.95742; testing accuracy.: 0.94000
Training loss: 1.50423; testing loss: 1.52384;
-------------------------------------------------------------------------------------------
Epoch 849/1000... Training accuracy.: 0.95742; testing accuracy.: 0.92500
Training loss: 1.50423; testing loss: 1.53415;
-------------------------------------------------------------------------------------------
Epoch 850/1000... Training accuracy.: 0.95743; testing accuracy.: 0.91500
Training loss: 1.50422; testing loss: 1.54847;
-------------------------------------------------------------------------------------------
Epoch 851/1000... Training accuracy.: 0.95743; testing accuracy.: 0.92500
Training loss: 1.50422; testing loss: 1.53593;
-------------------------------------------------------------------------------------------
Epoch 852/1000... Training accuracy.: 0.95743; testing accuracy.: 0.94500
Training loss: 1.50422; testing loss: 1.51877;
-------------------------------------------------------------------------------------------
Epoch 853/1000... Training accuracy.: 0.95743; testing accuracy.: 0.93000
Training loss: 1.50422; testing loss: 1.52982;
-------------------------------------------------------------------------------------------
Epoch 854/1000... Training accuracy.: 0.95743; testing accuracy.: 0.95000
Training loss: 1.50421; testing loss: 1.50883;
-------------------------------------------------------------------------------------------
Epoch 855/1000... Training accuracy.: 0.95743; testing accuracy.: 0.93000
Training loss: 1.50421; testing loss: 1.53174;
-------------------------------------------------------------------------------------------
Epoch 856/1000... Training accuracy.: 0.95743; testing accuracy.: 0.92500
Training loss: 1.50421; testing loss: 1.53862;
-------------------------------------------------------------------------------------------
Epoch 857/1000... Training accuracy.: 0.95743; testing accuracy.: 0.87500
Training loss: 1.50421; testing loss: 1.58502;
-------------------------------------------------------------------------------------------
Epoch 858/1000... Training accuracy.: 0.95743; testing accuracy.: 0.91500
Training loss: 1.50421; testing loss: 1.54349;
-------------------------------------------------------------------------------------------
Epoch 859/1000... Training accuracy.: 0.95743; testing accuracy.: 0.92500
Training loss: 1.50421; testing loss: 1.53908;
-------------------------------------------------------------------------------------------
Epoch 860/1000... Training accuracy.: 0.95743; testing accuracy.: 0.92500
Training loss: 1.50421; testing loss: 1.53379;
-------------------------------------------------------------------------------------------
Epoch 861/1000... Training accuracy.: 0.95745; testing accuracy.: 0.91500
Training loss: 1.50420; testing loss: 1.54525;
-------------------------------------------------------------------------------------------
Epoch 862/1000... Training accuracy.: 0.95743; testing accuracy.: 0.95500
Training loss: 1.50420; testing loss: 1.50600;
-------------------------------------------------------------------------------------------
Epoch 863/1000... Training accuracy.: 0.95743; testing accuracy.: 0.95000
Training loss: 1.50420; testing loss: 1.51221;
-------------------------------------------------------------------------------------------
Epoch 864/1000... Training accuracy.: 0.95743; testing accuracy.: 0.93500
Training loss: 1.50420; testing loss: 1.52582;
-------------------------------------------------------------------------------------------
Epoch 865/1000... Training accuracy.: 0.95745; testing accuracy.: 0.92500
Training loss: 1.50420; testing loss: 1.53660;
-------------------------------------------------------------------------------------------
Epoch 866/1000... Training accuracy.: 0.95745; testing accuracy.: 0.92500
Training loss: 1.50420; testing loss: 1.53636;
-------------------------------------------------------------------------------------------
Epoch 867/1000... Training accuracy.: 0.95745; testing accuracy.: 0.93500
Training loss: 1.50420; testing loss: 1.52541;
-------------------------------------------------------------------------------------------
Epoch 868/1000... Training accuracy.: 0.95743; testing accuracy.: 0.93000
Training loss: 1.50419; testing loss: 1.52993;
-------------------------------------------------------------------------------------------
Epoch 869/1000... Training accuracy.: 0.95745; testing accuracy.: 0.89500
Training loss: 1.50419; testing loss: 1.56098;
-------------------------------------------------------------------------------------------
Epoch 870/1000... Training accuracy.: 0.95745; testing accuracy.: 0.93000
Training loss: 1.50419; testing loss: 1.53236;
-------------------------------------------------------------------------------------------
Epoch 871/1000... Training accuracy.: 0.95745; testing accuracy.: 0.93000
Training loss: 1.50419; testing loss: 1.53442;
-------------------------------------------------------------------------------------------
Epoch 872/1000... Training accuracy.: 0.95745; testing accuracy.: 0.88500
Training loss: 1.50418; testing loss: 1.57431;
-------------------------------------------------------------------------------------------
Epoch 873/1000... Training accuracy.: 0.95745; testing accuracy.: 0.90000
Training loss: 1.50419; testing loss: 1.55829;
-------------------------------------------------------------------------------------------
Epoch 874/1000... Training accuracy.: 0.95747; testing accuracy.: 0.92500
Training loss: 1.50419; testing loss: 1.53685;
-------------------------------------------------------------------------------------------
Epoch 875/1000... Training accuracy.: 0.95745; testing accuracy.: 0.89500
Training loss: 1.50418; testing loss: 1.56837;
-------------------------------------------------------------------------------------------
Epoch 876/1000... Training accuracy.: 0.95745; testing accuracy.: 0.93000
Training loss: 1.50419; testing loss: 1.52884;
-------------------------------------------------------------------------------------------
Epoch 877/1000... Training accuracy.: 0.95745; testing accuracy.: 0.93500
Training loss: 1.50418; testing loss: 1.52602;
-------------------------------------------------------------------------------------------
Epoch 878/1000... Training accuracy.: 0.95745; testing accuracy.: 0.89000
Training loss: 1.50418; testing loss: 1.56901;
-------------------------------------------------------------------------------------------
Epoch 879/1000... Training accuracy.: 0.95747; testing accuracy.: 0.92000
Training loss: 1.50417; testing loss: 1.53993;
-------------------------------------------------------------------------------------------
Epoch 880/1000... Training accuracy.: 0.95747; testing accuracy.: 0.94000
Training loss: 1.50418; testing loss: 1.52160;
-------------------------------------------------------------------------------------------
Epoch 881/1000... Training accuracy.: 0.95745; testing accuracy.: 0.92500
Training loss: 1.50418; testing loss: 1.53730;
-------------------------------------------------------------------------------------------
Epoch 882/1000... Training accuracy.: 0.95747; testing accuracy.: 0.95000
Training loss: 1.50418; testing loss: 1.51212;
-------------------------------------------------------------------------------------------
Epoch 883/1000... Training accuracy.: 0.95745; testing accuracy.: 0.95500
Training loss: 1.50417; testing loss: 1.50408;
-------------------------------------------------------------------------------------------
Epoch 884/1000... Training accuracy.: 0.95747; testing accuracy.: 0.93000
Training loss: 1.50417; testing loss: 1.52970;
-------------------------------------------------------------------------------------------
Epoch 885/1000... Training accuracy.: 0.95747; testing accuracy.: 0.92500
Training loss: 1.50418; testing loss: 1.53895;
-------------------------------------------------------------------------------------------
Epoch 886/1000... Training accuracy.: 0.95745; testing accuracy.: 0.95000
Training loss: 1.50417; testing loss: 1.51190;
-------------------------------------------------------------------------------------------
Epoch 887/1000... Training accuracy.: 0.95745; testing accuracy.: 0.92000
Training loss: 1.50417; testing loss: 1.53935;
-------------------------------------------------------------------------------------------
Epoch 888/1000... Training accuracy.: 0.95745; testing accuracy.: 0.89000
Training loss: 1.50417; testing loss: 1.56948;
-------------------------------------------------------------------------------------------
Epoch 889/1000... Training accuracy.: 0.95745; testing accuracy.: 0.94500
Training loss: 1.50417; testing loss: 1.51713;
-------------------------------------------------------------------------------------------
Epoch 890/1000... Training accuracy.: 0.95745; testing accuracy.: 0.93000
Training loss: 1.50417; testing loss: 1.52760;
-------------------------------------------------------------------------------------------
Epoch 891/1000... Training accuracy.: 0.95745; testing accuracy.: 0.94000
Training loss: 1.50417; testing loss: 1.52210;
-------------------------------------------------------------------------------------------
Epoch 892/1000... Training accuracy.: 0.95747; testing accuracy.: 0.92000
Training loss: 1.50416; testing loss: 1.53989;
-------------------------------------------------------------------------------------------
Epoch 893/1000... Training accuracy.: 0.95745; testing accuracy.: 0.93500
Training loss: 1.50416; testing loss: 1.52816;
-------------------------------------------------------------------------------------------
Epoch 894/1000... Training accuracy.: 0.95745; testing accuracy.: 0.93500
Training loss: 1.50416; testing loss: 1.52849;
-------------------------------------------------------------------------------------------
Epoch 895/1000... Training accuracy.: 0.95748; testing accuracy.: 0.93500
Training loss: 1.50416; testing loss: 1.52628;
-------------------------------------------------------------------------------------------
Epoch 896/1000... Training accuracy.: 0.95748; testing accuracy.: 0.92500
Training loss: 1.50416; testing loss: 1.53668;
-------------------------------------------------------------------------------------------
Epoch 897/1000... Training accuracy.: 0.95747; testing accuracy.: 0.93000
Training loss: 1.50415; testing loss: 1.53088;
-------------------------------------------------------------------------------------------
Epoch 898/1000... Training accuracy.: 0.95748; testing accuracy.: 0.95000
Training loss: 1.50416; testing loss: 1.50960;
-------------------------------------------------------------------------------------------
Epoch 899/1000... Training accuracy.: 0.95747; testing accuracy.: 0.94000
Training loss: 1.50416; testing loss: 1.52247;
-------------------------------------------------------------------------------------------
Epoch 900/1000... Training accuracy.: 0.95748; testing accuracy.: 0.92000
Training loss: 1.50415; testing loss: 1.54264;
-------------------------------------------------------------------------------------------
Epoch 901/1000... Training accuracy.: 0.95747; testing accuracy.: 0.91500
Training loss: 1.50415; testing loss: 1.54360;
-------------------------------------------------------------------------------------------
Epoch 902/1000... Training accuracy.: 0.95747; testing accuracy.: 0.92500
Training loss: 1.50415; testing loss: 1.53565;
-------------------------------------------------------------------------------------------
Epoch 903/1000... Training accuracy.: 0.95748; testing accuracy.: 0.94000
Training loss: 1.50415; testing loss: 1.52265;
-------------------------------------------------------------------------------------------
Epoch 904/1000... Training accuracy.: 0.95747; testing accuracy.: 0.93500
Training loss: 1.50415; testing loss: 1.52613;
-------------------------------------------------------------------------------------------
Epoch 905/1000... Training accuracy.: 0.95747; testing accuracy.: 0.91500
Training loss: 1.50414; testing loss: 1.54631;
-------------------------------------------------------------------------------------------
Epoch 906/1000... Training accuracy.: 0.95747; testing accuracy.: 0.91500
Training loss: 1.50414; testing loss: 1.54365;
-------------------------------------------------------------------------------------------
Epoch 907/1000... Training accuracy.: 0.95748; testing accuracy.: 0.92000
Training loss: 1.50415; testing loss: 1.54501;
-------------------------------------------------------------------------------------------
Epoch 908/1000... Training accuracy.: 0.95747; testing accuracy.: 0.96000
Training loss: 1.50414; testing loss: 1.50234;
-------------------------------------------------------------------------------------------
Epoch 909/1000... Training accuracy.: 0.95748; testing accuracy.: 0.93000
Training loss: 1.50413; testing loss: 1.53296;
-------------------------------------------------------------------------------------------
Epoch 910/1000... Training accuracy.: 0.95748; testing accuracy.: 0.94500
Training loss: 1.50414; testing loss: 1.51634;
-------------------------------------------------------------------------------------------
Epoch 911/1000... Training accuracy.: 0.95748; testing accuracy.: 0.91000
Training loss: 1.50414; testing loss: 1.54904;
-------------------------------------------------------------------------------------------
Epoch 912/1000... Training accuracy.: 0.95748; testing accuracy.: 0.93500
Training loss: 1.50414; testing loss: 1.52446;
-------------------------------------------------------------------------------------------
Epoch 913/1000... Training accuracy.: 0.95747; testing accuracy.: 0.94000
Training loss: 1.50413; testing loss: 1.52394;
-------------------------------------------------------------------------------------------
Epoch 914/1000... Training accuracy.: 0.95748; testing accuracy.: 0.91500
Training loss: 1.50414; testing loss: 1.54092;
-------------------------------------------------------------------------------------------
Epoch 915/1000... Training accuracy.: 0.95748; testing accuracy.: 0.91500
Training loss: 1.50413; testing loss: 1.54278;
-------------------------------------------------------------------------------------------
Epoch 916/1000... Training accuracy.: 0.95748; testing accuracy.: 0.90000
Training loss: 1.50413; testing loss: 1.55944;
-------------------------------------------------------------------------------------------
Epoch 917/1000... Training accuracy.: 0.95748; testing accuracy.: 0.95500
Training loss: 1.50413; testing loss: 1.50609;
-------------------------------------------------------------------------------------------
Epoch 918/1000... Training accuracy.: 0.95748; testing accuracy.: 0.93500
Training loss: 1.50413; testing loss: 1.52052;
-------------------------------------------------------------------------------------------
Epoch 919/1000... Training accuracy.: 0.95748; testing accuracy.: 0.92000
Training loss: 1.50413; testing loss: 1.53836;
-------------------------------------------------------------------------------------------
Epoch 920/1000... Training accuracy.: 0.95748; testing accuracy.: 0.92500
Training loss: 1.50413; testing loss: 1.53894;
-------------------------------------------------------------------------------------------
Epoch 921/1000... Training accuracy.: 0.95750; testing accuracy.: 0.89000
Training loss: 1.50413; testing loss: 1.56605;
-------------------------------------------------------------------------------------------
Epoch 922/1000... Training accuracy.: 0.95748; testing accuracy.: 0.95000
Training loss: 1.50413; testing loss: 1.51007;
-------------------------------------------------------------------------------------------
Epoch 923/1000... Training accuracy.: 0.95750; testing accuracy.: 0.91500
Training loss: 1.50412; testing loss: 1.54708;
-------------------------------------------------------------------------------------------
Epoch 924/1000... Training accuracy.: 0.95750; testing accuracy.: 0.96500
Training loss: 1.50412; testing loss: 1.49740;
-------------------------------------------------------------------------------------------
Epoch 925/1000... Training accuracy.: 0.95750; testing accuracy.: 0.93000
Training loss: 1.50412; testing loss: 1.52951;
-------------------------------------------------------------------------------------------
Epoch 926/1000... Training accuracy.: 0.95750; testing accuracy.: 0.91500
Training loss: 1.50412; testing loss: 1.54597;
-------------------------------------------------------------------------------------------
Epoch 927/1000... Training accuracy.: 0.95750; testing accuracy.: 0.90000
Training loss: 1.50412; testing loss: 1.55690;
-------------------------------------------------------------------------------------------
Epoch 928/1000... Training accuracy.: 0.95748; testing accuracy.: 0.94000
Training loss: 1.50412; testing loss: 1.52304;
-------------------------------------------------------------------------------------------
Epoch 929/1000... Training accuracy.: 0.95750; testing accuracy.: 0.92000
Training loss: 1.50411; testing loss: 1.54131;
-------------------------------------------------------------------------------------------
Epoch 930/1000... Training accuracy.: 0.95748; testing accuracy.: 0.95000
Training loss: 1.50411; testing loss: 1.51340;
-------------------------------------------------------------------------------------------
Epoch 931/1000... Training accuracy.: 0.95748; testing accuracy.: 0.93500
Training loss: 1.50411; testing loss: 1.52561;
-------------------------------------------------------------------------------------------
Epoch 932/1000... Training accuracy.: 0.95748; testing accuracy.: 0.90000
Training loss: 1.50411; testing loss: 1.56219;
-------------------------------------------------------------------------------------------
Epoch 933/1000... Training accuracy.: 0.95750; testing accuracy.: 0.92500
Training loss: 1.50411; testing loss: 1.53397;
-------------------------------------------------------------------------------------------
Epoch 934/1000... Training accuracy.: 0.95750; testing accuracy.: 0.91000
Training loss: 1.50411; testing loss: 1.54630;
-------------------------------------------------------------------------------------------
Epoch 935/1000... Training accuracy.: 0.95750; testing accuracy.: 0.93000
Training loss: 1.50411; testing loss: 1.53184;
-------------------------------------------------------------------------------------------
Epoch 936/1000... Training accuracy.: 0.95748; testing accuracy.: 0.92000
Training loss: 1.50411; testing loss: 1.53718;
-------------------------------------------------------------------------------------------
Epoch 937/1000... Training accuracy.: 0.95750; testing accuracy.: 0.93000
Training loss: 1.50411; testing loss: 1.53159;
-------------------------------------------------------------------------------------------
Epoch 938/1000... Training accuracy.: 0.95750; testing accuracy.: 0.96000
Training loss: 1.50410; testing loss: 1.50481;
-------------------------------------------------------------------------------------------
Epoch 939/1000... Training accuracy.: 0.95748; testing accuracy.: 0.94000
Training loss: 1.50410; testing loss: 1.51936;
-------------------------------------------------------------------------------------------
Epoch 940/1000... Training accuracy.: 0.95748; testing accuracy.: 0.90000
